full_text,tweet_url,username,compound,positive,negative,neutral,textblob_polarity,ensemble_score,sentiment_label
Huge respect to ex-Open AI researcher @suchirbalaji for voicing his opinion on this and for his thoughtful analysis of the issues around generative AI training. To quote the conclusion of his essay: None of the four factors seem to weigh in favor of ChatGPT being a fair use of https://t.co/a84iA8G5xD,https://x.com/ednewtonrex/status/1849192596285104212,ednewtonrex,0.9001,0.228,0.0,0.772,0.5,0.7400599999999999,Positive
I recently tweeted a controversial opinion regarding generative AI and several people were deeply offended so I'd like to make an apology: sorry ur fuckin dumb fuck ai https://t.co/4QacUgow6j,https://x.com/imabeebop/status/1847883609719390264,imabeebop,-0.8028,0.11,0.337,0.553,-0.10357142857142856,-0.5231085714285714,Negative
Most people hate generative AI shit and don't want deepfakes. Get over it crying and claiming it's an echochamber opinion doesn't change the real fact that majority of people I've spoken with IRL and online either don't care about gen AI are scared of it or absolutely hate it. https://t.co/deTWLdYCEK,https://x.com/EZE3D/status/1822651960513724637,EZE3D,-0.9657,0.0,0.332,0.668,-0.21666666666666667,-0.6660866666666666,Negative
Always good to see #legalwriting scholars cited by professional organizations like the ABA. @EllieMargolis's 2007 Article and Michael Murphy's 2021 article in @JALWD cited in this week's Formal Opinion 512 on Generative AI! https://t.co/qzoIzSvJiN,https://x.com/JonahPerlin/status/1819032472614555913,JonahPerlin,0.69,0.151,0.0,0.849,0.4125,0.579,Positive
Generative AI has the potential to revolutionize finance and banking and make these services more inclusive and in my opinion since AI propels efficiency and security it can also be instrumental in bridging economic disparities. RT @antgrasso #AI #finserv #fintech https://t.co/wyHLJYB7MH,https://x.com/DigitalNStream/status/1855831679799103984,DigitalNStream,0.5994,0.112,0.0,0.888,0.2333333333333333,0.45297333333333334,Positive
WATCH : Could Generative AI influence public opinion especially during election season? Get insights from Vladimir Kropotov Senior Researcher at Trend Micro as he answers this question. Watch PART ONE of our interview to find out: https://t.co/2kG3PPWJIx,https://x.com/TrendMicroRSRCH/status/1841855859766227355,TrendMicroRSRCH,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
the term generative AI implies that simple statistical algorithms like linear regression are in the same category as LLMs and thus that LLMs do not actually have any natural language understanding capabilities. this opinion is fine but these language games are not scientific,https://x.com/axel_pond/status/1859669093458342240,axel_pond,0.4404,0.109,0.0,0.891,0.10333333333333335,0.3055733333333333,Positive
Opinion: Generative AI will create a new digital divide. Those who master it will thrive; those who don't will be left behind. #LeadGeneration #SalesAI,https://x.com/StevePalomares_/status/1848752422971445354,StevePalomares_,0.2732,0.087,0.0,0.913,-0.06590909090909092,0.13755636363636362,Positive
WATCH: As concerns escalate about generative AI's influence on manipulating political opinion mitigating it ultimately boils down to critical thinking. Here s what the panel from the DECODE 2024: Fusion Forward cybersecurity conference had to say. https://t.co/Xg4PyxFjfN,https://x.com/TrendMicroRSRCH/status/1854116815363838249,TrendMicroRSRCH,-0.5859,0.0,0.124,0.876,-0.038888888888888896,-0.3670955555555555,Negative
google training generative AI off of opinion rewards asking some wild questions https://t.co/hiQplGbgpZ,https://x.com/LordRavenscraft/status/1834753291000959300,LordRavenscraft,0.4767,0.205,0.0,0.795,0.1,0.32602,Positive
Bold opinion: even modest incremental improvements to current generative AI will result in massive change of society and economy in a matter of one/two decades.,https://x.com/antirez/status/1831760004656898333,antirez,0.6124,0.222,0.0,0.778,0.10833333333333334,0.4107733333333334,Positive
ICYMI: AI is changing research and publishing. Dave Flanagan shares how generative AI boosts productivity and streamlines workflows. Learn more ️ https://t.co/2Gds1gm74k #PeerReviewWeek https://t.co/duUO2a9HDK,https://x.com/wileyinresearch/status/1838291041423700215,wileyinresearch,0.5423,0.176,0.0,0.824,0.5,0.52538,Positive
Opinion | Winds of Change in Higher Ed to Become a Hurricane in 2025 A number of factors are converging to create a huge storm. Generative AI advances massive federal policy shifts broad societal and economic changes and the demographic cliff combine to create uncertainty https://t.co/nZUjPVMd8R,https://x.com/insidehighered/status/1859296933879197894,insidehighered,0.5267,0.165,0.051,0.784,0.18250000000000002,0.38902,Positive
American Bar Association Issues Formal Opinion on Use of Generative AI Tools https://t.co/CH3r5NXhqm #Lawyer #AI #Tools @ByronTau https://t.co/UvhNtAUlul,https://x.com/natlawreview/status/1824088656451195003,natlawreview,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Opinion | Here Come the AI Agents! @AnthropicAI last month took the lead in providing early access to basic AI agents for the masses. This is a huge leap forward from the chat bots that have dominated early generative AI. https://t.co/EzYy9fTv2Y https://t.co/wq0qkcEbPQ,https://x.com/insidehighered/status/1854295468118782094,insidehighered,0.3802,0.062,0.0,0.938,0.12000000000000002,0.27612000000000003,Positive
From Peter B. Bo Rutledge dean of the University of Georgia School of Law and Nicole Golson a student at the school: ABA Formal Opinion 512 on Generative AI Addresses Concerns 𝗥𝗲𝗮𝗱 𝘁𝗵𝗲 𝗮𝗿𝘁𝗶𝗰𝗹𝗲 𝗵𝗲𝗿𝗲: https://t.co/StzwUyyNSb https://t.co/ugj3VHn9Yc,https://x.com/DailyReport/status/1848832327071175096,DailyReport,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Opinion: The distinction between predictive and generative programs needs to be made in the AI discussion. https://t.co/vTL4QoPdJJ,https://x.com/ThePost/status/1836457658897105405,ThePost,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
In your opinion which area will generative AI most improve customer experience over the next few years?,https://x.com/FreshworksInc/status/1828014331297947853,FreshworksInc,0.4927,0.166,0.0,0.834,0.09999999999999999,0.33562,Positive
Chatbots in the Classroom: Who s confronting the generative AI hype and hazards in N.S.schools? My latest @chronicleherald on first day of school. Check out @palan57 @benjaminjriley @jillbarshay @C21CEO #nsed #cdned https://t.co/zVKrE0aUJl,https://x.com/Educhatter/status/1831641981350523072,Educhatter,-0.1531,0.0,0.051,0.949,0.375,0.05814000000000001,Neutral
Yesterday we hosted two meetups: The AI &amp; Prompt Engineering Meetup in Munich dealt with generative AI and prompt engineering. At the MUC:SEC Meetup in Unterföhring we covered IT security and AI's impact on public opinion. Thanks to everyone who made these events possible! https://t.co/AuQcfO4W2N,https://x.com/tngtech/status/1847253232726274119,tngtech,0.68,0.115,0.0,0.885,0.06666666666666667,0.4346666666666667,Positive
generative AI is so ethically bankrupt in every way possibly imaginable. Please for the love of God if you still think it's just a cool new toy to play with without consequences open your eyes.,https://x.com/rk_tw33ts/status/1861265509666132282,rk_tw33ts,0.8137,0.294,0.086,0.62,0.19772727272727267,0.5673109090909091,Positive
WATCH: As concerns escalate about generative AI's influence on manipulating political opinion mitigating it ultimately boils down to critical thinking. Here s what the panel from the DECODE 2024: Fusion Forward cybersecurity conference had to say. https://t.co/d5NyPEALZ3,https://x.com/TrendMicroRSRCH/status/1851881957178646537,TrendMicroRSRCH,-0.5859,0.0,0.124,0.876,-0.038888888888888896,-0.3670955555555555,Negative
Join Crowell's Bill Murray and Jennie VonCannon on December 11 from 12:30 - 1:30PM ET as they delve into the ethical challenges and opportunities of generative AI including a discussion of the American Bar Association s first formal opinion on AI tools https://t.co/Pza8lzcMNz,https://x.com/Crowell_Moring/status/1854885983658848382,Crowell_Moring,0.8126,0.207,0.0,0.793,0.15,0.54756,Positive
Answer only if you have a disability that directly impacts your ability to write: Do you think having a disability that impacts your ability to write excuses the use of generative AI? Share so we can get a decent sample and see if this is an opinion any relevant people hold,https://x.com/Lyons_Pen/status/1830677226729161050,Lyons_Pen,0.7003,0.131,0.0,0.869,0.16666666666666669,0.48684666666666665,Positive
i m anti generative ai regardless of the use case. i actually don t care if you re just making memes or having fun btw,https://x.com/jam0nline/status/1859662806880297106,jam0nline,0.6369,0.243,0.086,0.672,0.15,0.44214,Positive
American Bar Association Issues Formal Opinion on Use of Generative AI Tools https://t.co/CH3r5NXhqm #Lawyer #AI #Tools @RobinsonCole https://t.co/8bRgcbraHD,https://x.com/natlawreview/status/1823821898305675340,natlawreview,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
Generative AI has the potential to revolutionize finance and banking and make these services more inclusive and in my opinion since AI propels efficiency and security it can also be instrumental in bridging economic disparities. RT @antgrasso #AI #finserv #fintech https://t.co/agbjmx1qAZ,https://x.com/MaxDigitalSight/status/1835314516046794993,MaxDigitalSight,0.5994,0.112,0.0,0.888,0.2333333333333333,0.45297333333333334,Positive
OPINION: Generative AI has been lambasted for its impact on human creativity. But many don t realize its biggest downfall: it s massive power usage and environmental impact. https://t.co/IRJ9Z1Y5i0,https://x.com/idsnews/status/1811101806144966797,idsnews,0.2023,0.065,0.0,0.935,0.16666666666666666,0.18804666666666667,Positive
Generative AI creates uniformity in art &amp; writing. It makes generic averaged-out texts &amp; images. AI pushers think this is a good thing - a great levelling that dethrones the talented- who they see as privileged. This is resentment dressed up as egalitarianism. https://t.co/0xBQDHK3sV,https://x.com/MrEwanMorrison/status/1860083681827918056,MrEwanMorrison,0.9081,0.288,0.055,0.658,0.55,0.7648600000000001,Positive
Understanding generative AI as a pedagogical innovation (opinion) https://t.co/m3j675bHS5,https://x.com/allenmendenhall/status/1861035396559167962,allenmendenhall,0.3818,0.271,0.0,0.729,0.0,0.22907999999999998,Positive
ABA Issues Formal Ethics Opinion on Use of Generative AI Tools https://t.co/Go9i4lLsT1,https://x.com/California_Laws/status/1825979646846054668,California_Laws,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
ABA Issues Formal Opinion on Use of Generative AI https://t.co/rJtRadNeXZ #wisconsinlawyer #wisconsinlaw #wisbar,https://x.com/StateBarofWI/status/1839684991967506743,StateBarofWI,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
This Week in eDiscovery: Preserving Relevant Data on Video Game Consoles ABA Opinion on Generative AI https://t.co/W0lycGlIcO,https://x.com/California_Laws/status/1821599367759098026,California_Laws,0.0,0.0,0.0,1.0,0.0,0.0,Neutral
The ABA recently released its first formal opinion covering the growing use of generative AI in the practice of law. Check out Wisconsin's legal blogging community at WisLawNOW com H/t @wisconsinlaw #wisconsinlawyer #wisconsinlaw #legalethics https://t.co/z0cXx5P6Ch,https://x.com/StateBarofWI/status/1825875308207050967,StateBarofWI,0.296,0.088,0.0,0.912,0.15,0.23759999999999998,Positive
The ABA Standing Committee on Ethics and Professional Responsibility released its first opinion regarding attorneys use of generative #AI which confirms what many have assumed: https://t.co/92Ro4RMcUw #GenAI https://t.co/Q0rItmQTbN,https://x.com/CovingtonLLP/status/1823464568225493360,CovingtonLLP,0.0,0.0,0.0,1.0,0.2833333333333333,0.11333333333333334,Positive
Stepped behind the opinion desk at @KansanNews to talk about something I m fairly passionate about: the use of generative AI in learning and the costs of it. https://t.co/qcZQqqMDtR,https://x.com/ben_h_hooke/status/1836845181322035592,ben_h_hooke,0.5267,0.116,0.0,0.884,-0.225,0.22601999999999994,Positive
Unpopular opinion: Generative AI is an amazing tool for game devs In my new blog post I explore how: - AI can improve our creativity - To integrate these tools - Adopt a growth mindset to leverage AI as a tool not a threat Read more https://t.co/0B4UCBf0Mt https://t.co/FhB8Y1p5BU,https://x.com/ThomasSimonini/status/1859250284708409577,ThomasSimonini,0.9369,0.319,0.0,0.681,0.2090909090909091,0.6457763636363636,Positive
USA: #ABA publishes Opinion on generative #AI tools. The Opinion guides lawyers on competence confidentiality communication and fees under the ABA Model Rules of Professional Conduct. Check it out: https://t.co/zzBiixoiDY,https://x.com/DataGuidance/status/1818722297328406609,DataGuidance,0.0,0.0,0.0,1.0,0.1,0.04000000000000001,Neutral
Attention legal innovators! Last month the American Bar Association dropped a bombshell opinion on the ethical use of generative AI in legal practice. I've just published an in-depth analysis of ABA Formal Opinion 512. I explore the risks benefits and practical,https://x.com/lawdroid/status/1828541065269301420,lawdroid,0.7263,0.203,0.046,0.751,0.13,0.48777999999999994,Positive
my most ass-backward opinion as a tech student is that we must ban the use of image/video generative AI,https://x.com/graphicalhazard/status/1842381971764445496,graphicalhazard,-0.5574,0.0,0.175,0.825,0.5,-0.13444,Negative
WATCH: As concerns escalate about generative AI's influence on manipulating political opinion mitigating it ultimately boils down to critical thinking. Here s what the panel from the DECODE 2024: Fusion Forward cybersecurity conference had to say. https://t.co/unN9jVv8sG,https://x.com/TrendMicroRSRCH/status/1849677368203382856,TrendMicroRSRCH,-0.5859,0.0,0.124,0.876,-0.038888888888888896,-0.3670955555555555,Negative
Left: Softmax-sampled token 'opinion' of #CLIP optimizing text embeddings towards image (cos similarity): : shoeposed obstruccat shoe resting cat Right: #Projected #Gradient #Descent w/ these text embeds. What CLIP had 'in mind'. CLIP standalone generative #AI ~ #AIart https://t.co/AJeaP4AEzJ,https://x.com/zer0int1/status/1818358293339029668,zer0int1,0.4588,0.077,0.0,0.923,0.14285714285714285,0.33242285714285713,Positive
The ABA Standing Committee on Ethics and Professional Responsibility released its first opinion regarding attorneys use of generative #AI which confirms what many have assumed: https://t.co/DF3l7vQZm5 #GenAI https://t.co/d1zTW4GMgZ,https://x.com/CovingtonLLP/status/1826242913124090096,CovingtonLLP,0.0,0.0,0.0,1.0,0.2833333333333333,0.11333333333333334,Positive
Following the release of ABA Formal Opinion 512: Generative Artificial Intelligence Tools here s a roadmap of how we got here and an educational reference guide to the Era of Generative AI: https://t.co/L4cukQ25MJ #Legaltech #GenerativeAI #TheRelativityBlog https://t.co/LrVFtnDPEx,https://x.com/RelativityHQ/status/1823713868721385927,RelativityHQ,0.4767,0.084,0.0,0.916,-0.11666666666666665,0.23935333333333333,Positive
Piano playing with Runway Gen3 As we all know hands were a big issue in early generative AI. @runwayml seems to have made huge progress. Look at this piano playing! @ADpianist - would love your expert opinion on this! I'm sure it's not perfect but seems a massive improvement? https://t.co/FOSpbz4QGD,https://x.com/pzf_ai/status/1806902065895215317,pzf_ai,0.8803,0.27,0.036,0.694,0.17500000000000002,0.5981799999999999,Positive
